nomor,filename,sumber,nama_toko,tanggal,nama_barang,jumlah_barang,harga_satuan,total_harga_item,raw_text
13,primer_0005.jpg,primer,TITIK MULA COFFEE,06/05/2025,SAUCE,1.0,35000.0,35000.0,"TITIK MULA COFFEE
J1.Dipokusumo No.28
Purbalingga LorKec.
Purbalingga,Kab
Purba l ingga-Jawa Tengah
53311
Phone:081215026200
Date
06/05/202514:21
Order NumberP0S-060525-21
Customer
KA16GC
Sales Type
Normal
User
KASIR1
Cashier
KASIR1
Crispy Beef
Steak-BROWN SAUCE
35.000
1x35.000
Crispy Beef Steak-BBQ
SAUCE
1x35.000
35.000
AMDK
12.000
2x6.000
Total Item 4
82.000
Subtotal
8.200
Tax
90.200
Total
Tender
90.200
QRIS
0
Change
instagram: @titikmula.coffee
Wiffi Password :
lemon8
pedesnyasambelkemangi
@khea3789"
14,primer_0005.jpg,primer,TITIK MULA COFFEE,06/05/2025,AMDK,2.0,6000.0,4.0,"TITIK MULA COFFEE
J1.Dipokusumo No.28
Purbalingga LorKec.
Purbalingga,Kab
Purba l ingga-Jawa Tengah
53311
Phone:081215026200
Date
06/05/202514:21
Order NumberP0S-060525-21
Customer
KA16GC
Sales Type
Normal
User
KASIR1
Cashier
KASIR1
Crispy Beef
Steak-BROWN SAUCE
35.000
1x35.000
Crispy Beef Steak-BBQ
SAUCE
1x35.000
35.000
AMDK
12.000
2x6.000
Total Item 4
82.000
Subtotal
8.200
Tax
90.200
Total
Tender
90.200
QRIS
0
Change
instagram: @titikmula.coffee
Wiffi Password :
lemon8
pedesnyasambelkemangi
@khea3789"
15,primer_0006.jpg,primer,ALFAMIDI CAWANG BARU,14-09-2021,,,,,"ALFAMIDI CAWANG BARU
ALFAMIDI CAWANG BARU/081290144281
JL.CAWANG I RT 004 RW 12 KELU
Kritik & Saran:1500959,Alfacare@mu.co.id
WWW.ALFAKIDIKU.COM
Bon
NC25-321-1409747X KasirRIFKI HE
NICE TIS 900
145.700
45,700
Disc.
-17,800
Total Item
45,700
Total Disc
17,800
Total Belanja
27,900
SHOPEEPAY
27,900
Kembalian
0
PPN 
4145
Tg1.14-09-2021 20:07:14 V.2021.7.0
MemberPETER IVAN
POIN MEHBER ANDA 5329
Selamat Poin anda bertambah 118
PT MIDI UTAMA INDONESIA TBK
NPWP02.672.927.7-054.000
ALFA TOWER LT.12JL JALUR SUTERA BARAT
KAU.7-9 ALAM SUTERA PANUNGGANGAN TIHUR
PINANG KOTA TANGERANG BANTEN"
16,primer_0007.jpg,primer,BEEPOS,24-05-2023,Bakso,2.0,12000.0,24000.0,"BEEPOS
Cafe Bee
J1.Kemang Selatan I No.20
Surabaya021-33335800
Tanggal:24-05-2023 16:45
Kasir Hafiz
No TrxJL/0022305241645/004
MemberCASH
Channel:Dine In
Bakso
2x12,000
24,000
Cah Kangkung
3x7500
22,500
CapJay
3x17,000
51,000
Cumi Goreng Tepung Gurih
3x25,000
75,000
Subtotal
172,500
Pajak
18,975
Total
191,475
TUNAI
200,000
Kembalian
8,525
* Supported by bee.id *"
17,primer_0007.jpg,primer,BEEPOS,24-05-2023,Cah Kangkung,3.0,7500.0,22500.0,"BEEPOS
Cafe Bee
J1.Kemang Selatan I No.20
Surabaya021-33335800
Tanggal:24-05-2023 16:45
Kasir Hafiz
No TrxJL/0022305241645/004
MemberCASH
Channel:Dine In
Bakso
2x12,000
24,000
Cah Kangkung
3x7500
22,500
CapJay
3x17,000
51,000
Cumi Goreng Tepung Gurih
3x25,000
75,000
Subtotal
172,500
Pajak
18,975
Total
191,475
TUNAI
200,000
Kembalian
8,525
* Supported by bee.id *"
18,primer_0007.jpg,primer,BEEPOS,24-05-2023,CapJay,3.0,17000.0,51000.0,"BEEPOS
Cafe Bee
J1.Kemang Selatan I No.20
Surabaya021-33335800
Tanggal:24-05-2023 16:45
Kasir Hafiz
No TrxJL/0022305241645/004
MemberCASH
Channel:Dine In
Bakso
2x12,000
24,000
Cah Kangkung
3x7500
22,500
CapJay
3x17,000
51,000
Cumi Goreng Tepung Gurih
3x25,000
75,000
Subtotal
172,500
Pajak
18,975
Total
191,475
TUNAI
200,000
Kembalian
8,525
* Supported by bee.id *"
19,primer_0007.jpg,primer,BEEPOS,24-05-2023,Cumi Goreng Tepung Gurih,3.0,25000.0,75000.0,"BEEPOS
Cafe Bee
J1.Kemang Selatan I No.20
Surabaya021-33335800
Tanggal:24-05-2023 16:45
Kasir Hafiz
No TrxJL/0022305241645/004
MemberCASH
Channel:Dine In
Bakso
2x12,000
24,000
Cah Kangkung
3x7500
22,500
CapJay
3x17,000
51,000
Cumi Goreng Tepung Gurih
3x25,000
75,000
Subtotal
172,500
Pajak
18,975
Total
191,475
TUNAI
200,000
Kembalian
8,525
* Supported by bee.id *"
20,primer_0008.jpg,primer,P1.Matahar Depar tnent Store Tbk,15/03/15,,,,,"P1.Matahar Depar tnent Store Tbk
NPWP/NPPKP:01.317.956.9-054.000
Tg1PKP14Ju1999
ver.1.1.1592
PEN.JUALAN
022700004 1749
15/03/15
002614
12.03:22
94892274 EAGLE
94884381NEWERA
120,000
93025711 SHOP BAG UK46
136.430
0
3 ITEMS
TOTAL
256,430
Kupon Belanj
100,000
Kupon Belanj
100,000
Kupon Belanj
50.000
TUNAI
10,000
KEMBALI
-3,570
Barang kena PaJak, harga termasuk PPN
Jfian Atas Pelayanan & Saran Hubungi
Center HAL0 MATAHARI 500 838
Layanan08.00-22.00 
021-5475718"
21,primer_0009.jpg,primer,Cafesolooasis,,1:7237689F:7237690,3.0,43755.0,0.0,"Cafesolooasis
Pejaten Village Lt 3 No 12A
1:7237689F:7237690
3x43.755
Moca Capucinolarge
131265
1x25.800
Icetea
25,800
3x56.225
Chess BurgerSalmon 168,675
1X23,500
Pasterycoconut
23.500
8item
SubTotal
349,240
PPN1O%
34,924
Total
384164
Pembulatan
64
TotalAkhir
384.100
TUNAIBAYAR
400.000
Kembali
15,900
05-Ju1i-2018/19:21:00
ADNIN
UNKDHKSR1050720181921
TERIMAKASIHATAS
KUNJUNGANANDA"
22,primer_0009.jpg,primer,Cafesolooasis,,Moca Capucinolarge,1.0,25800.0,0.0,"Cafesolooasis
Pejaten Village Lt 3 No 12A
1:7237689F:7237690
3x43.755
Moca Capucinolarge
131265
1x25.800
Icetea
25,800
3x56.225
Chess BurgerSalmon 168,675
1X23,500
Pasterycoconut
23.500
8item
SubTotal
349,240
PPN1O%
34,924
Total
384164
Pembulatan
64
TotalAkhir
384.100
TUNAIBAYAR
400.000
Kembali
15,900
05-Ju1i-2018/19:21:00
ADNIN
UNKDHKSR1050720181921
TERIMAKASIHATAS
KUNJUNGANANDA"
23,primer_0009.jpg,primer,Cafesolooasis,,Icetea,3.0,56225.0,168675.0,"Cafesolooasis
Pejaten Village Lt 3 No 12A
1:7237689F:7237690
3x43.755
Moca Capucinolarge
131265
1x25.800
Icetea
25,800
3x56.225
Chess BurgerSalmon 168,675
1X23,500
Pasterycoconut
23.500
8item
SubTotal
349,240
PPN1O%
34,924
Total
384164
Pembulatan
64
TotalAkhir
384.100
TUNAIBAYAR
400.000
Kembali
15,900
05-Ju1i-2018/19:21:00
ADNIN
UNKDHKSR1050720181921
TERIMAKASIHATAS
KUNJUNGANANDA"
24,primer_0009.jpg,primer,Cafesolooasis,,"Chess BurgerSalmon 168,675",1.0,23500.0,0.0,"Cafesolooasis
Pejaten Village Lt 3 No 12A
1:7237689F:7237690
3x43.755
Moca Capucinolarge
131265
1x25.800
Icetea
25,800
3x56.225
Chess BurgerSalmon 168,675
1X23,500
Pasterycoconut
23.500
8item
SubTotal
349,240
PPN1O%
34,924
Total
384164
Pembulatan
64
TotalAkhir
384.100
TUNAIBAYAR
400.000
Kembali
15,900
05-Ju1i-2018/19:21:00
ADNIN
UNKDHKSR1050720181921
TERIMAKASIHATAS
KUNJUNGANANDA"
25,primer_0010.jpg,primer,Die Stube,2115/02/2024,,,,,"Die Stube
German Resto & Bar
Plaza Bisnis Kemang.
J1.Kemang Raya No.2
Jakarta Selatan
TABLE13
PAX3
OPINDAH
POS Title Order01P0S POS001
Rcpt#D001822115/02/202422:05
1 BEEF GOULASH
180,000
1 STEAK TARTALE
180,000
1 GERMANY STEAK
200,000
3 APPLE PANCAKE
165.000
3 ONION RINGS
180,000
3 SOJU ORIGINAL
450,000
3 EQUIL NATURAL
105,000
SUBTOTAL
1,460,000
TAX
160,600
SC
73,000
TOTAL
1.693,600
Thank You Very Much"
26,primer_0011.jpg,primer,SATETONGSENG,11/01/2018,01CLERKO1,1.0,45000.0,45000.0,"SATETONGSENG
YOGYALESTART
jln.besitang no.21
11/01/2018
12:20
#062742
000000
01CLERKO1
1x45000
RP45000
Sate kambing
1x45000
RP45000
Sate lembu
5x30000
RP150000
Tongseng kambin
5x5000
RP25000
Nasi
5x12000
RP60000
Aneka jus
4x3000
RP12000
Kerupuk
SUBTOTAL
RP337000
**TOTAL
RP337000
CASH
RP350000
CHANGE
Rp13000"
27,primer_0011.jpg,primer,SATETONGSENG,11/01/2018,Sate kambing,1.0,45000.0,45000.0,"SATETONGSENG
YOGYALESTART
jln.besitang no.21
11/01/2018
12:20
#062742
000000
01CLERKO1
1x45000
RP45000
Sate kambing
1x45000
RP45000
Sate lembu
5x30000
RP150000
Tongseng kambin
5x5000
RP25000
Nasi
5x12000
RP60000
Aneka jus
4x3000
RP12000
Kerupuk
SUBTOTAL
RP337000
**TOTAL
RP337000
CASH
RP350000
CHANGE
Rp13000"
28,primer_0011.jpg,primer,SATETONGSENG,11/01/2018,Sate lembu,5.0,30000.0,150000.0,"SATETONGSENG
YOGYALESTART
jln.besitang no.21
11/01/2018
12:20
#062742
000000
01CLERKO1
1x45000
RP45000
Sate kambing
1x45000
RP45000
Sate lembu
5x30000
RP150000
Tongseng kambin
5x5000
RP25000
Nasi
5x12000
RP60000
Aneka jus
4x3000
RP12000
Kerupuk
SUBTOTAL
RP337000
**TOTAL
RP337000
CASH
RP350000
CHANGE
Rp13000"
29,primer_0011.jpg,primer,SATETONGSENG,11/01/2018,Tongseng kambin,5.0,5000.0,25000.0,"SATETONGSENG
YOGYALESTART
jln.besitang no.21
11/01/2018
12:20
#062742
000000
01CLERKO1
1x45000
RP45000
Sate kambing
1x45000
RP45000
Sate lembu
5x30000
RP150000
Tongseng kambin
5x5000
RP25000
Nasi
5x12000
RP60000
Aneka jus
4x3000
RP12000
Kerupuk
SUBTOTAL
RP337000
**TOTAL
RP337000
CASH
RP350000
CHANGE
Rp13000"
30,primer_0011.jpg,primer,SATETONGSENG,11/01/2018,Nasi,5.0,12000.0,60000.0,"SATETONGSENG
YOGYALESTART
jln.besitang no.21
11/01/2018
12:20
#062742
000000
01CLERKO1
1x45000
RP45000
Sate kambing
1x45000
RP45000
Sate lembu
5x30000
RP150000
Tongseng kambin
5x5000
RP25000
Nasi
5x12000
RP60000
Aneka jus
4x3000
RP12000
Kerupuk
SUBTOTAL
RP337000
**TOTAL
RP337000
CASH
RP350000
CHANGE
Rp13000"
31,primer_0011.jpg,primer,SATETONGSENG,11/01/2018,Aneka jus,4.0,3000.0,12000.0,"SATETONGSENG
YOGYALESTART
jln.besitang no.21
11/01/2018
12:20
#062742
000000
01CLERKO1
1x45000
RP45000
Sate kambing
1x45000
RP45000
Sate lembu
5x30000
RP150000
Tongseng kambin
5x5000
RP25000
Nasi
5x12000
RP60000
Aneka jus
4x3000
RP12000
Kerupuk
SUBTOTAL
RP337000
**TOTAL
RP337000
CASH
RP350000
CHANGE
Rp13000"
32,primer_0012.jpg,primer,CORK & SCREWPACIFIC PLACE,16/02/2024,,,,,"CORK & SCREWPACIFIC PLACE
Pacfic Place Mall
SCBD Jakarta Selatan
TABLE:12
Pax5
OPANDHI
ANDRI
POS Tt ORDER1
POS.POS001
Rcp#111005667 16/02/202422:07
1 Truttler Grill Chesee
240.000
1Pan-Seared Salmon
225.000
1 Tomyam.chicken Noodle
180.000
1Grlled Veal Tongue
210.000
1 Oomain Mamaruta
700.000
1 Aus Strploin
270.000
3 Trio Molten Cake
120,000
2 Apple lce Tea
90.000
5 Aqua Retlection Spk
150.000
3 lce Cotfee
120.000
2 Ice Lychee Tea
90.000
SUBTOTAL
2,395.000
SERVICE
119.750
TAX
263.450
TOTAL
2.778.200
Tnank For Your Visit"
33,primer_0013.jpg,primer,GUARDIAN BRI-2,0704/08/20,SUBTOTAL,1.0,135500.0,135500.0,"GUARDIAN BRI-2
5070778WARDAH.ECLLRWTR
JARDAHMCLLRWTR240
3008669 BI0RE UVARSPF50
137.900
RIORE UV ARSPF5050
42.900
SUBTOTAL
135.500
135.500
E-Payment
Total Hero 135.500
ITEHS .PURCHASED:2
TOTAL SAVINGS:52.900
NO.SALEITENS:2
DPP-VATant
VAT-Rate
12318
123.182
10%
TERIMA KASIH MASUKAN & SARAN
HJB.cs_guardian@hero.co.id
11n000018193909:0704/08/20"
34,primer_0014.jpg,primer,GOT,2023-05-08,,,,,"GOT
JRIKS
01.107.670.0-511.000
FAKTUR TUNAI
PT GUN
JL.SO
225227
Pe langgan:ESTE HART
01.107
AlamatL.RAYA SOREANG
Tangga12023-05-08
No.Faktur10131
Pela
KODE-NAHA PRODUK
Alan
NO.
QTY
Price Incl.PPN
Total
Tan
No
AO000441 TCBH 4B-BOTOL CELUP HIJAU 4 B
12.0BOS
x17.000.00
204,000.00
Disc
0.00
2
A0000343 TPP25-POCI CELUP PREMIUM 25
x32.500.00
65,000.00
Disc
0.00
3
A0000095 TBB25P-POCI CELUP WANGI ASLI 25
2.0
BOS
x26.000.00
52,000.00
Disc
0.00
TOTAL 16.0
BOS
TOTAL GROSS sebelun disc)
321,000.00
Sales Dea1 discount
0.00
TOTAL NETT
321,001.00
Harga sudah termasuk PPN 11x
Penbayaran
321,000,000.00"
35,primer_0015.jpg,primer,NOTA PENJUALAN (ASLI),2025-07-14,JUMLAH,20.0,107000.0,12111.0,"NOTA PENJUALAN (ASLI)
PT BALINA AGUNG PERKASA
CABANG CIMANGGIS
NO.NOTA338-250512434A022
TANGGAL:2025-07-14 Rit 1
MOBIL
B9076KXS
DRIVER
13.0887 Muhamad Sofyan
HELPER1:23.0285 Irhas
PELANGGAN338-250527 (R)
HELPER2:
KIOS NADYA,WR-JALAN MAJA NO.24 SUKATAN!KECAMATAN TAPOS KOT
A DEPOK JAWA BARAT
KODE
NAMA BARANG
HARGA
DISKON
JUMLAH
QTY
AQ.1500ML1X12
20.00
107,000.00
12111
53,500.00
47,000.00
.00
188,000.00
12312
AQ.600ML1X24
TOTAL
oRp25,000.00
Diterima Oleh
Pengirim
Catatan:
-untuk pembayaran TUNAl, nota penjualan ASLI untuk pelanggan
-untuk pembayaran KREDIT,nota penjualan COPY untuk pelanggan.
-Harga sudah termasuk PPN
Area338-PL02/SegmentGT RETAIL (GR)"
36,primer_0016.jpg,primer,NOTA FENJUALAN (ASLI),2026-01-05,y0.00,2.0,53500.0,107000.0,"NOTA FENJUALAN (ASLI)
PT3ALINA AGUNG PERKASA
CABANG KIW
NO.NOTA348-260500406A026
MOBIL
B9076KXS
TANGGAL:2026-01-05 Rit1
DRIVER
14.0247Fatkhurohman
HELPER1:23.0406 Ridwan Apriand
PELANGGAN338-250527(R)
HELPER2
KIOS NADYA,WR-JALAN MAJA NO.24 SUKATANI KECAMATAN TAPOS KOT
A DEPOK JAWA BARAT
KODE
NAMA BARANG
QTY
HARGA
DISKON
JUMLAH
12111
AQ.1500ML1X12
y0.00
2
53,500.00
107,000.00
TOTAL:
Rp 107,000.00
Diterima Oleh
Pengirim
1-03.000
Catatan:
-Harga sudah termasuk PPN.
Area348-PL17/Segment:GT RETAIL (GR)"
37,primer_0017.jpg,primer,SUCIPTORT00,11.20-14,2600,1.0,5.0,200.0,"SUCIPTORT00
27105220-60200
3037/M NADZIR/01
4,500
2.1.75
3,500
4500
3500
13,000
1
200
8.11.20-14:22
2600
1
5
200
(1)
1
AICE CHOCO MELT 100
DISKON:
21,200
INDOMI GRNG ACEH 90G
(1200)
PEDULI KANKER
PLASTIK BSR
HARGA JUAL
20,000
50,000
TOTAL
30,000
TUNAI
1,200
VC INDOMIE GRG/PT.INDOFOOD
KEMBALI
ANDA HEMAT
280
TD
CO.
DPP=19,091 PPN=1,909
OPN
KONTAKGINDOMARET
ON PPNDPP=200
LAYANAN KONSUMEN SMS 0811 1500
280
500"
38,primer_0018.jpg,primer,shutte,,ToLal,1.0,20000.0,20000.0,"shutte
Kopi kenangun
Deli Park
shutterst.ck
Server:KAD
pu
ORDER #A171
shutterstc.ck
yul
Scan QR for Cashback/Points VALID 24h
J15202317:44PM
ake Away
1
ColdRegular) Kopi Kenang
an Mantan
19,000
Normal Ice
1x Norma1 Sugar
1x Kenangan Blend
0
0
1
Take Away 1-1000
1,000
ToLal
20,000
20,000
Al1 Price are Inclusive Tax
shuttersto.ck
closed
Ju115202317:44PM
Belanja 4oRB & dapatkan kode uniknya.
Sert raih hadiah Gebyar Kenangan.Cek kode
Bumi Berkah Boga
82.877.176.2029.000
Gedung Merara Sentraya
Ic unit AL
WhatsApp 62  70 91 fe Bk
WhatsApp
6281707568858
A
shuttersto
erst.ck
shutterstock
IMAGEID:2334542535
www.shutterstock.com"
39,primer_0019.jpg,primer,PT Depok Distribvsindo Raya,20.10.2015,,,,,"PT Depok Distribvsindo Raya
SURAT PENGANTAR
2153192428
No.NPP07.106.142.5-41.2000
Tgl.FengukuhanPkp20.10.2015
al
212
Pembell1928307/1928307
Kirim Ke:1920307
REGY-
2153192428
KIOS.NADYA/ETIN NUNHAYATI
KIUS.NADYA/ETIN NURHAYATI
KELUHAN PELANGGAN
DEPOK
L.BELHBIN64RT.2NH.15NO.BB4 14KEL.SUKTANI K4A021-50957907
PS90230259-25H1311551
DEPOK
NOMOR
TANGGAL
NO.SHIPMENT
SALES
PEMBAYARAN
NOMOR MOBIL
NOMOR POLISI
NAMA SUPIR
ORDER
JATUH TEMPO
80235009
REGY
172929861
CASH
13.09.2025
DFK-TTPO53
B9502UCD
Suandri
KODE
QUANTITY
BATCH
ISI
HARGA
PROMO
REGULAR
JUMLAH
NAMA BARANG
BARANG
Pcs
(Rp.
DISCOUNT
DISCOUNT
(Rp.)
Piadahan dar
halanan 1
363.117
8FC
63242
ROYALE HOT SUMMER DBL SCT 52ML RO
1FC
1.470
3.469
8.291
0
O
Harga sudah termasuk PPN
Klaim Kesalahan Faktur tidak dilayani setelah dokumen ini ditanda tangani.
Tanda Trade PronoTR
Bila LUNAS Surat Pengantar asli WAJIB diambil.Jika TIDAK maka tetap menjadi tanggung jawab pelanggan
SUB TOTAL
3.
9,00 Koli
4.Pembayaran dengan Giro harap diatasnamakan
371408
Hohon Penbayaran Hanya ke
K34860793
PT Depok Distribusindo Raga Rekening yang Tertera Disin
Bank
Trade Frono
Selesai dibongkar jam.
BANK HULTI ARTA SENTOSANAS) 1001031887
11.539
No.Rek.:
Sebelum ditanda-tangan, harap diperiksa dengan benar.
Jila pesanan tidak sesuai hubungi
01225
keluhan pelanggan 2x24 jan1anpirkan
1.Kode custoner dan Detail nasalah
2.Bukti SP dan Iabel list
Aydiansyahs1
13.08.20252304:24
Pembeli (Nama &Stempel)
TOTAL YANG
Penjual
DIBAYAR
Lembar1Penjual CR/PembellCash)
Lembar2:Accounting
Lembar 3Pembeli (CR)/Penjual Cash"
40,primer_0020.jpg,primer,Toko Selada,,Tinta Epson,1.0,80000.0,80000.0," Toko Selada
Pondok Indah Ms1 Lt.1
087888724250
BKA2
Tinta Epson
1x80.000
80.000
Dngkar Jakarta
1x9.000
9.000
Total
Ro
89.000
90.000
Kemba1 Ro.
1.000
Barang yng sudah dibe t
dapat dituar / dikbalan
2019-02192131
POWER"
41,primer_0020.jpg,primer,Toko Selada,,Dngkar Jakarta,1.0,9000.0,9000.0," Toko Selada
Pondok Indah Ms1 Lt.1
087888724250
BKA2
Tinta Epson
1x80.000
80.000
Dngkar Jakarta
1x9.000
9.000
Total
Ro
89.000
90.000
Kemba1 Ro.
1.000
Barang yng sudah dibe t
dapat dituar / dikbalan
2019-02192131
POWER"
